,tau_a_Usq_Pa,tau_p_Usq_Pa,tau_st_a_Usq,tau_st_p_Usq,h_n,Station
36,2.1248911127238386,2.8730274644724707,0.010635246107950877,0.01437972702535273,1.8095238095238095,Station87-Synthetic-3
37,,,,,1.6363636363636365,Station87-Synthetic-3
38,1.3187052073303474,2.124838978426818,0.006600112144494978,0.01063480713403899,1.5714285714285714,Station87-Synthetic-4
39,1.8390518821790098,2.7597272306948772,0.009205672115514553,0.013814261718344028,1.8695652173913044,Station87-Synthetic-4
40,,,,,1.4761904761904763,Station87-Synthetic-4
41,,,,,,Station87-Synthetic-4
42,,,,,1.3636363636363635,Station87-Synthetic-4
43,1.6927321723073603,2.4322439676023295,0.008473477789532769,0.012175325533105769,2.1818181818181817,Station87-Synthetic-4
44,2.0518516765171575,2.7457821518646015,0.010271175206217122,0.01374485781924372,2.3636363636363638,Station87-Synthetic-4
45,5.63226380170259,7.8946701755440225,0.028193780858403815,0.03951885222623631,3.6153846153846154,Station87-Synthetic-5
46,3.5884713875216128,5.591944332358801,0.017962686611474633,0.027991401558964756,3.1538461538461537,Station87-Synthetic-6
47,5.07,10.68,0.02,0.042,1.226666667,Station99-Flume
48,5.17,9.75,0.02,0.039,1.236486486,Station99-Flume
49,5.72,9.54,0.023,0.038,1.326797386,Station99-Flume
50,6.0,10.15,0.024,0.04,1.382550336,Station99-Flume
51,7.19,12.0,0.028,0.047,1.22,Station99-Flume
52,7.45,12.43,0.029,0.049,1.340136054,Station99-Flume
53,8.0,12.96,0.032,0.051,1.577777778,Station99-Flume
54,8.77,15.3,0.035,0.06,1.796296296,Station99-Flume
55,8.68,14.76,0.034,0.058,1.358108108,Station99-Flume
56,9.79,15.52,0.039,0.061,1.700934579,Station99-Flume
57,10.06,17.05,0.04,0.067,1.977777778,Station99-Flume
58,10.33,17.04,0.041,0.067,2.0,Station99-Flume
59,7.62,12.72,0.03,0.05,1.662068966,Station99-Flume
60,8.09,9.65,0.032,0.038,1.396946565,Station99-Flume
61,8.95,14.56,0.035,0.058,1.507936508,Station99-Flume
62,9.5,18.14,0.038,0.072,1.677419355,Station99-Flume
